year,age,band,sex,mass,date,jday,nest,day,wet_dry,warm_cold
2004,AD,2003-92354,M,59,6/10/2004,162,,,Dry,Cold
2005,AD,2003-92361,F,57,6/30/2005,181,,,Wet,Warm
2004,AD,2003-92359,M,53,6/21/2004,173,,,Dry,Cold
2005,AD,2003-92375,F,100,6/15/2005,166,,,Wet,Warm
2004,AD,2003-92364,M,53,6/24/2004,176,,,Dry,Cold
2004,AD,2003-92363,M,60,6/28/2004,180,,,Dry,Cold
2004,AD,2003-92376,F,63.5,7/2/2004,184,,,Dry,Cold
2004,U,2003-92387,F,58,7/6/2004,188,,,Dry,Cold
2005,AD,2003-92393,F,71,7/11/2005,192,,,Wet,Warm
2005,AD,1593-64402,F,77,6/7/2005,158,,,Wet,Warm
2005,AD,1593-64435,M,52,6/8/2005,159,,,Wet,Warm
2005,AD,1593-64403,M,58,6/10/2005,161,,,Wet,Warm
2005,AD,1593-64409,M,47.5,6/13/2005,164,,,Wet,Warm
2005,AD,1593-64433,F,58.5,6/17/2005,168,,,Wet,Warm
2005,AD,1593-64437,M,49,6/17/2005,168,,,Wet,Warm
2005,AD,1593-64445,F,74.5,6/17/2005,168,,,Wet,Warm
2005,AD,1593-64446,F,64,6/20/2005,171,,,Wet,Warm
2005,AD,1593-64447,F,69,6/24/2005,175,,,Wet,Warm
2005,AD,1593-64438,F,65.5,6/27/2005,178,,,Wet,Warm
2005,AD,1593-64439,M,62.5,6/27/2005,178,,,Wet,Warm
2005,AD,1593-64460,F,63.5,6/27/2005,178,,,Wet,Warm
2005,AD,1593-64461,M,51.5,6/27/2005,178,,,Wet,Warm
2005,AD,1593-64431,M,58,7/7/2005,188,,,Wet,Warm
2005,AD,1593-64457,F,59.5,7/12/2005,193,,,Wet,Warm
2006,AD,1593-64487,F,84,6/5/2006,156,,,Dry,Cold
2006,AD,1593-64511,F,44,7/6/2006,187,,,Dry,Cold
2006,AD,1593-64488,F,76,6/6/2006,157,,,Dry,Cold
2006,AD,1593-64502,F,71,6/7/2006,158,,,Dry,Cold
2006,AD,1593-64532,M,52,6/7/2006,158,,,Dry,Cold
2006,AD,1593-64513,F,62.5,6/9/2006,160,,,Dry,Cold
