"","V1","V2","V3","V4"
"estimate","Mean","SD","Upper 97.5","Lower 2.5"
"female_wet_alpha","134.350962","  7.251764","148.343899","119.006826"
"female_dry_alpha","128.41241"," 10.37775","147.11219","103.42258"
"female_wet_beta","-0.38656604"," 0.03915067","-0.30345494","-0.46207905"
"female_dry_beta","-0.36331969"," 0.05615819","-0.22762927","-0.46499614"
"female_warm_alpha","132.27318","  6.59588","145.33786","118.66854"
"female_cold_alpha","126.29074"," 10.15064","145.22463","105.23265"
"female_warm_beta","-0.37779321"," 0.03544716","-0.30486249","-0.44791623"
"female_cold_beta","-0.35140296"," 0.05527718","-0.23703406","-0.45511077"
"male_wet_alpha","58.093382"," 3.647061","64.964674","51.038856"
"male_dry_alpha","55.983110"," 3.823237","63.417229","49.228173"
"male_wet_beta","-0.01797969"," 0.02065935"," 0.02243634","-0.05694339"
"male_dry_beta","-0.005196604"," 0.021595748"," 0.033007636","-0.046975426"
"male_warm_alpha","57.364091"," 2.626495","62.471912","51.735604"
"male_cold_alpha","57.594142"," 6.220048","70.432173","46.699997"
"male_warm_beta","-0.01454987"," 0.01490236"," 0.01752371","-0.04335937"
"male_cold_beta","-0.01293501"," 0.03507537"," 0.04914822","-0.08549803"
