nest,year,clutch,brood,fledge,wet_dry,warm_cold
B2_2004,2004,NA,3,3,Dry,Cold
B4_2004,2004,NA,3,3,Dry,Cold
B2_2005,2005,NA,3,3,Wet,Warm
A4-04,2004,3,3,3,Dry,Cold
A8-04,2004,3,3,3,Dry,Cold
A10-04,2004,3,3,3,Dry,Cold
A11-04,2004,3,3,3,Dry,Cold
A13-04,2004,3,2,2,Dry,Cold
A18-04,2004,3,3,3,Dry,Cold
A27-04,2004,4,3,3,Dry,Cold
A29-04,2004,3,3,3,Dry,Cold
B1_2004,2004,3,NA,2,Dry,Cold
B2_2004,2004,NA,3,2,Dry,Cold
B5_2004,2004,3,2,1,Dry,Cold
B6_2004,2004,3,3,3,Dry,Cold
B7_2004,2004,3,3,3,Dry,Cold
B10_2004,2004,2,2,2,Dry,Cold
B11_2004,2004,NA,NA,2,Dry,Cold
B13_2004,2004,3,NA,2,Dry,Cold
CN4_2004,2004,NA,3,3,Dry,Cold
CN5_2004,2004,3,1,1,Dry,Cold
CS1_2004,2004,3,3,1,Dry,Cold
CS2_2004,2004,NA,3,3,Dry,Cold
A2_2005,2005,NA,2,0,Wet,Warm
A4_2005,2005,NA,0,0,Wet,Warm
A8_2005,2005,3,3,3,Wet,Warm
A10_2005,2005,3,3,3,Wet,Warm
A11_2005,2005,3,3,3,Wet,Warm
A13_2005,2005,3,3,3,Wet,Warm
A18_2005,2005,3,0,0,Wet,Warm
A41_2005,2005,2,2,2,Wet,Warm
A29_2005,2005,2,0,0,Wet,Warm
B1_2005,2005,3,3,3,Wet,Warm
B4_2005,2005,4,4,4,Wet,Warm
B5_2005,2005,3,3,3,Wet,Warm
B8_2005,2005,3,0,0,Wet,Warm
B7_2005,2005,2,0,0,Wet,Warm
B10_2005,2005,3,2,2,Wet,Warm
B11_2005,2005,2,0,0,Wet,Warm
B12_2005,2005,3,0,0,Wet,Warm
B13_2005,2005,NA,3,3,Wet,Warm
B14_2005,2005,3,2,2,Wet,Warm
B15_2005,2005,NA,0,0,Wet,Warm
B17_2005,2005,2,1,1,Wet,Warm
CN4_2005,2005,3,3,3,Wet,Warm
CN7_2005,2005,NA,3,3,Wet,Warm
CN8_2005,2005,NA,3,3,Wet,Warm
CS1_1_2005,2005,2,0,0,Wet,Warm
CS1_2_2005,2005,3,3,3,Wet,Warm
A2_2006,2006,3,2,1,Dry,Cold
A4_2006,2006,2,0,0,Dry,Cold
A8_2006,2006,3,3,0,Dry,Cold
A10_2006,2006,3,3,0,Dry,Cold
A11_2006,2006,2,2,0,Dry,Cold
A18_2006,2006,3,3,0,Dry,Cold
A20_2006,2006,3,3,0,Dry,Cold
A41_2006,2006,NA,2,1,Dry,Cold
B2_2006,2006,3,0,0,Dry,Cold
B4_2006,2006,4,4,2,Dry,Cold
B5_2006,2006,3,0,0,Dry,Cold
B6_2006,2006,3,3,2,Dry,Cold
B7_2006,2006,3,3,0,Dry,Cold
B10_2006,2006,2,0,0,Dry,Cold
B13_2006,2006,2,2,0,Dry,Cold
B14_2006,2006,2,2,0,Dry,Cold
B15_2006,2006,NA,0,0,Dry,Cold
B17_2006,2006,NA,0,0,Dry,Cold
CN2_2006,2006,NA,3,1,Dry,Cold
CN7_2006,2006,3,3,2,Dry,Cold
CN8_2006,2006,3,NA,1,Dry,Cold
CS1_2006,2006,3,2,2,Dry,Cold
A4_2007,2007,2,2,1,Wet,Warm
A8_2007,2007,3,3,3,Wet,Warm
A10_2007,2007,3,3,1,Wet,Warm
A11_2007,2007,2,1,1,Wet,Warm
A18_2007,2007,NA,0,0,Wet,Warm
A29_2007,2007,2,2,2,Wet,Warm
A41_2007,2007,1,1,1,Wet,Warm
B1_2007,2007,NA,0,0,Wet,Warm
B2_2007,2007,NA,0,0,Wet,Warm
B5_2007,2007,2,2,2,Wet,Warm
B6_2007,2007,3,2,2,Wet,Warm
B7_2007,2007,NA,3,2,Wet,Warm
B8_2007,2007,3,2,1,Wet,Warm
B11_2007,2007,2,2,1,Wet,Warm
B12_2007,2007,NA,0,0,Wet,Warm
B13_2007,2007,2,2,2,Wet,Warm
B15_2007,2007,NA,3,0,Wet,Warm
CN1_2007,2007,3,2,2,Wet,Warm
CN2_2007,2007,NA,0,0,Wet,Warm
CN5_2007,2007,NA,2,2,Wet,Warm
CN7_2007,2007,3,3,3,Wet,Warm
CN8_2007,2007,2,2,2,Wet,Warm
CN9_2007,2007,3,NA,0,Wet,Warm
CS4_2007,2007,NA,3,3,Wet,Warm
A2_2008,2008,3,3,3,Wet,Warm
A7_2008,2008,NA,NA,0,Wet,Warm
A8_2008,2008,NA,0,0,Wet,Warm
A10_2008,2008,3,3,3,Wet,Warm
A11_2008,2008,NA,0,0,Wet,Warm
A13-2008,2008,NA,2,2,Wet,Warm
A20_2008,2008,2,0,0,Wet,Warm
A41_2008,2008,2,1,1,Wet,Warm
B1_2008,2008,3,3,3,Wet,Warm
B2_2008,2008,1,0,0,Wet,Warm
B4_2008,2008,3,3,3,Wet,Warm
B5_2008,2008,3,3,3,Wet,Warm
B6_2008,2008,2,0,0,Wet,Warm
B8_2008,2008,NA,1,0,Wet,Warm
B10_2008,2008,2,2,2,Wet,Warm
B13_2008,2008,3,3,0,Wet,Warm
B17_2008,2008,3,3,3,Wet,Warm
CN1_2008,2008,2,2,2,Wet,Warm
CN5_2008,2008,2,0,0,Wet,Warm
CN8_2008,2008,3,2,2,Wet,Warm
CS1_2008,2008,NA,0,0,Wet,Warm
D1_2008,2008,1,0,0,Wet,Warm
A2_2009,2009,3,3,3,Dry,Cold
A4_2009,2009,3,0,0,Dry,Cold
A8_2009,2009,3,3,2,Dry,Cold
A10_2009,2009,NA,3,3,Dry,Cold
A11_2009,2009,2,2,0,Dry,Cold
A12_2009,2009,3,3,1,Dry,Cold
A18_2009,2009,3,2,2,Dry,Cold
A27_2009,2009,2,2,0,Dry,Cold
A29_2009,2009,3,0,0,Dry,Cold
A40_2009,2009,NA,1,1,Dry,Cold
A41_2009,2009,3,0,0,Dry,Cold
B1_2009,2009,3,2,2,Dry,Cold
B2_2009,2009,3,3,3,Dry,Cold
B4_2009,2009,3,3,3,Dry,Cold
B5_2009,2009,NA,2,2,Dry,Cold
B6_2009,2009,3,1,1,Dry,Cold
B14_2009,2009,2,0,0,Dry,Cold
B15_2009,2009,2,0,0,Dry,Cold
B17_2009,2009,NA,0,0,Dry,Cold
B18_2009,2009,NA,0,0,Dry,Cold
CN5_2009,2009,3,2,2,Dry,Cold
D1_2009,2009,2,2,2,Dry,Cold
D5_2009,2009,3,0,0,Dry,Cold
A2_2010,2010,3,3,3,Wet,Warm
A4_2010,2010,2,2,1,Wet,Warm
A7_2010,2010,NA,2,2,Wet,Warm
A10_2010,2010,3,3,3,Wet,Warm
A18_2010,2010,3,3,3,Wet,Warm
A29_2010,2010,2,2,2,Wet,Warm
A40_2010,2010,NA,2,2,Wet,Warm
B1_2010,2010,3,2,0,Wet,Warm
B4_2010,2010,3,3,3,Wet,Warm
B5_2010,2010,2,0,0,Wet,Warm
B6_2010,2010,3,0,0,Wet,Warm
B8_2010,2010,NA,2,0,Wet,Warm
B10_2010,2010,3,3,0,Wet,Warm
B13_2010,2010,NA,NA,0,Wet,Warm
B15_2010,2010,NA,NA,0,Wet,Warm
CN1_2010,2010,NA,2,2,Wet,Warm
CN2_2010,2010,NA,NA,0,Wet,Warm
CN5_2010,2010,2,2,2,Wet,Warm
CN9_2010,2010,2,2,2,Wet,Warm
CN11_2010,2010,3,3,2,Wet,Warm
D1_2010,2010,3,3,3,Wet,Warm
D2_2010,2010,2,2,2,Wet,Warm
D6_2010,2010,3,0,0,Wet,Warm
D7_2010,2010,2,2,2,Wet,Warm
A4_2011,2011,3,3,3,Wet,Warm
A8_2011,2011,3,2,2,Wet,Warm
A10_2011,2011,2,2,1,Wet,Warm
A13_2011,2011,3,2,1,Wet,Warm
A18_2011,2011,3,3,2,Wet,Warm
B1_2011,2011,3,2,1,Wet,Warm
B2_2011,2011,3,0,0,Wet,Warm
B4_2011,2011,3,3,3,Wet,Warm
B6_2011,2011,3,2,0,Wet,Warm
B8_2011,2011,3,3,0,Wet,Warm
B10_2011,2011,3,3,3,Wet,Warm
B12_2011,2011,2,2,0,Wet,Warm
B14_2011,2011,2,0,0,Wet,Warm
B17_2011,2011,2,0,0,Wet,Warm
B18_2011,2011,3,2,2,Wet,Warm
B19_2011,2011,3,3,3,Wet,Warm
CN5_2011,2011,NA,NA,0,Wet,Warm
D2_2011,2011,2,2,2,Wet,Warm
D8_2011,2011,2,2,2,Wet,Warm
D9_2011,2011,3,0,0,Wet,Warm
A4_2012,2012,2,2,2,Wet,Warm
A8_2012,2012,NA,NA,0,Wet,Warm
A10_2012,2012,3,3,3,Wet,Warm
A13_2012,2012,3,3,3,Wet,Warm
A18_2012,2012,3,3,3,Wet,Warm
A20_2012,2012,1,1,0,Wet,Warm
A41_2012,2012,NA,NA,0,Wet,Warm
B1_2012,2012,3,2,0,Wet,Warm
B2_2012,2012,3,3,2,Wet,Warm
B4_2012,2012,2,2,2,Wet,Warm
B5_2012,2012,3,0,0,Wet,Warm
B6_2012,2012,NA,0,0,Wet,Warm
B8_2012,2012,NA,2,0,Wet,Warm
B10_2012,2012,NA,1,1,Wet,Warm
B14_2012,2012,3,3,3,Wet,Warm
B17_2012,2012,3,3,2,Wet,Warm
B19_2012,2012,3,3,3,Wet,Warm
CN10_2012,2012,2,2,1,Wet,Warm
CN11_2012,2012,NA,NA,0,Wet,Warm
CN13_2012,2012,NA,NA,0,Wet,Warm
CS4_2012,2012,NA,NA,0,Wet,Warm
D1_2012,2012,3,2,2,Wet,Warm
D2_2012,2012,3,2,2,Wet,Warm
D5_2012,2012,NA,NA,0,Wet,Warm
D8_2012,2012,NA,NA,0,Wet,Warm
D11_2012,2012,3,2,2,Wet,Warm
A4_2013,2013,2,2,2,Dry,Cold
A8_2013,2013,3,2,2,Dry,Cold
A10_2013,2013,4,3,3,Dry,Cold
A13_2013,2013,3,2,2,Dry,Cold
A18_2013,2013,3,3,3,Dry,Cold
A20_2013,2013,NA,2,2,Dry,Cold
A27_2013,2013,2,1,1,Dry,Cold
A29_2013,2013,NA,2,2,Dry,Cold
A41_2013,2013,2,0,0,Dry,Cold
B1_2013,2013,3,3,2,Dry,Cold
B2_2013,2013,3,2,0,Dry,Cold
B6_2013,2013,3,0,0,Dry,Cold
B8_2013,2013,3,3,0,Dry,Cold
B10_2013,2013,3,3,3,Dry,Cold
B11_2013,2013,2,2,0,Dry,Cold
B13_2013,2013,2,2,2,Dry,Cold
B14_2013,2013,NA,2,2,Dry,Cold
B18_2013,2013,3,3,3,Dry,Cold
B20_2013,2013,NA,3,3,Dry,Cold
BG2_2013,2013,NA,2,2,Dry,Cold
BG4_2013,2013,2,2,2,Dry,Cold
CN8_2013,2013,2,2,2,Dry,Cold
CN10_2013,2013,2,0,0,Dry,Cold
CN11_2013,2013,2,2,2,Dry,Cold
CS4_2013,2013,3,2,2,Dry,Cold
D2_2013,2013,3,3,3,Dry,Cold
D7_2013,2013,3,2,2,Dry,Cold
D8_2013,2013,3,2,2,Dry,Cold
A2_2014,2014,2,0,0,Dry,Warm
A4_2014,2014,3,3,3,Dry,Warm
A7_2014,2014,2,0,0,Dry,Warm
A8_2014,2014,2,2,2,Dry,Warm
A10_2014,2014,3,3,3,Dry,Warm
A13_2014,2014,3,3,3,Dry,Warm
A15_2014,2014,2,2,2,Dry,Warm
A18_2014,2014,3,3,3,Dry,Warm
A20_2014,2014,3,3,3,Dry,Warm
A24_2014,2014,3,3,3,Dry,Warm
A27_2014,2014,3,3,3,Dry,Warm
A29_2014,2014,2,2,2,Dry,Warm
A40_2014,2014,3,1,0,Dry,Warm
A41_2014,2014,3,3,3,Dry,Warm
A44_2014,2014,NA,1,0,Dry,Warm
B2_2014,2014,2,2,2,Dry,Warm
B5_2014,2014,2,0,0,Dry,Warm
B6_2014,2014,3,3,0,Dry,Warm
B8_2014,2014,3,2,2,Dry,Warm
B12_2014,2014,2,2,2,Dry,Warm
B13_2014,2014,3,3,3,Dry,Warm
B17_2014,2014,3,3,3,Dry,Warm
B18_2014,2014,3,3,3,Dry,Warm
B19_2014,2014,2,1,0,Dry,Warm
B21_2014,2014,3,3,3,Dry,Warm
BG4_2014,2014,NA,NA,0,Dry,Warm
BG10_2014,2014,NA,2,2,Dry,Warm
CN8_2014,2014,2,1,1,Dry,Warm
CN10_2014,2014,3,2,2,Dry,Warm
CN11_2014,2014,3,3,3,Dry,Warm
CN13_2014,2014,3,3,3,Dry,Warm
D1_2014,2014,3,3,3,Dry,Warm
D2_2014,2014,3,3,3,Dry,Warm
D5_2014,2014,2,2,2,Dry,Warm
D8_2014,2014,3,3,3,Dry,Warm
D9_2014,2014,NA,3,3,Dry,Warm
D13_2014,2014,3,3,3,Dry,Warm
A2_2015,2015,3,3,3,Wet,Warm
A4_2015,2015,2,1,1,Wet,Warm
A7_2015,2015,2,2,2,Wet,Warm
A8_2015,2015,2,2,1,Wet,Warm
A10_2015,2015,3,3,3,Wet,Warm
A13_2015,2015,3,3,3,Wet,Warm
A15_2015,2015,2,2,2,Wet,Warm
A18_2015,2015,NA,2,2,Wet,Warm
A20_2015,2015,3,3,3,Wet,Warm
A24_2015,2015,3,3,1,Wet,Warm
A27_2015,2015,3,3,3,Wet,Warm
A44_2015,2015,3,3,3,Wet,Warm
B5_2015,2015,3,3,3,Wet,Warm
B6_2015,2015,2,1,1,Wet,Warm
B7_2015,2015,NA,0,0,Wet,Warm
B8_2015,2015,2,0,0,Wet,Warm
B10_2015,2015,2,2,1,Wet,Warm
B11_2015,2015,2,2,2,Wet,Warm
B13_2015,2015,2,2,2,Wet,Warm
B14_2015,2015,3,2,2,Wet,Warm
B17_2015,2015,NA,1,1,Wet,Warm
B19_2015,2015,3,0,0,Wet,Warm
B21_2015,2015,3,0,0,Wet,Warm
A2_2016,2016,NA,NA,0,Wet,Warm
A4_2016,2016,3,2,2,Wet,Warm
A7_2016,2016,NA,3,3,Wet,Warm
A10_2016,2016,3,3,3,Wet,Warm
A13_2016,2016,3,3,3,Wet,Warm
A18_2016,2016,NA,2,2,Wet,Warm
A20_2016,2016,NA,3,3,Wet,Warm
A24_2016,2016,NA,3,3,Wet,Warm
A27_2016,2016,3,3,3,Wet,Warm
A29_2016,2016,3,3,3,Wet,Warm
B5_2016,2016,3,2,2,Wet,Warm
B10_2016,2016,3,3,3,Wet,Warm
B12_2016,2016,3,2,2,Wet,Warm
B13_2016,2016,NA,3,3,Wet,Warm
B14_2016,2016,NA,3,3,Wet,Warm
B19_2016,2016,2,2,0,Wet,Warm
B20_2016,2016,NA,2,2,Wet,Warm
B21_2016,2016,3,2,2,Wet,Warm
A2_2017,2017,3,1,1,Dry,Warm
A7_2017,2017,3,0,0,Dry,Warm
A10_2017,2017,3,0,0,Dry,Warm
A13_2017,2017,3,3,3,Dry,Warm
A15_2017,2017,2,2,2,Dry,Warm
A20_2017,2017,3,3,3,Dry,Warm
A24_2017,2017,3,3,3,Dry,Warm
A27_2017,2017,3,3,3,Dry,Warm
A29_2017,2017,3,3,0,Dry,Warm
A40_2017,2017,2,2,2,Dry,Warm
A43_2017,2017,3,3,3,Dry,Warm
B2_2017,2017,NA,3,3,Dry,Warm
B5_2017,2017,3,0,0,Dry,Warm
B6_2017,2017,3,3,3,Dry,Warm
B8_2017,2017,2,2,2,Dry,Warm
B10_2017,2017,NA,3,3,Dry,Warm
B21_2017,2017,2,2,0,Dry,Warm
CN8_2017,2017,NA,2,2,Dry,Warm
CN10_2017,2017,3,2,2,Dry,Warm
D1_2017,2017,3,3,3,Dry,Warm
D6_2017,2017,3,3,3,Dry,Warm
D7_2017,2017,3,3,3,Dry,Warm
D8_2017,2017,3,3,3,Dry,Warm
D9_2017,2017,3,3,3,Dry,Warm
D11_2017,2017,3,3,3,Dry,Warm
D13_2017,2017,3,2,2,Dry,Warm
D14_2017,2017,3,3,3,Dry,Warm
A2_2018,2018,3,3,3,Wet,Warm
A4_2018,2018,3,3,3,Wet,Warm
A7_2018,2018,3,3,3,Wet,Warm
A8_2018,2018,2,2,2,Wet,Warm
A10_2018,2018,2,2,2,Wet,Warm
A27_2018,2018,3,3,3,Wet,Warm
A13_2018,2018,3,3,3,Wet,Warm
A20_2018,2018,3,3,3,Wet,Warm
A24_2018,2018,3,3,3,Wet,Warm
A40_2018,2018,2,2,2,Wet,Warm
B8_2018,2018,3,2,0,Wet,Warm
B12_2018,2018,NA,0,0,Wet,Warm
B17_2018,2018,2,0,0,Wet,Warm
CN11_2018,2018,2,0,0,Wet,Warm
D8_2018,2018,2,2,0,Wet,Warm
D9_2018,2018,3,3,3,Wet,Warm
D11_2018,2018,2,2,2,Wet,Warm
D13_2018,2018,3,3,3,Wet,Warm
D14_2018,2018,3,3,3,Wet,Warm
A2_2019,2019,3,3,3,Dry,Cold
A4_2019,2019,3,3,3,Dry,Cold
A7_2019,2019,3,3,3,Dry,Cold
A8_2019,2019,2,2,2,Dry,Cold
A10_2019,2019,3,0,0,Dry,Cold
A13_2019,2019,2,2,2,Dry,Cold
A27_2019,2019,3,0,0,Dry,Cold
A29_2019,2019,3,0,0,Dry,Cold
A40_2019,2019,3,3,3,Dry,Cold
B2_2019,2019,3,3,3,Dry,Cold
B5_2019,2019,3,3,3,Dry,Cold
B7_2019,2019,3,0,0,Dry,Cold
B8_2019,2019,2,0,0,Dry,Cold
B10_2019,2019,1,0,0,Dry,Cold
B12_2019,2019,NA,0,0,Dry,Cold
B13_2019,2019,3,3,3,Dry,Cold
BG5_2019,2019,3,3,3,Dry,Cold
CN8_2019,2019,2,2,0,Dry,Cold
CN11_2019,2019,NA,0,0,Dry,Cold
D2_2019,2019,2,2,2,Dry,Cold
D6_2019,2019,2,2,2,Dry,Cold
D8_2019,2019,3,3,0,Dry,Cold
D11_2019,2019,3,3,3,Dry,Cold
D13_2019,2019,3,3,3,Dry,Cold
D14_2019,2019,2,2,2,Dry,Cold
A2_2020,2020,3,3,3,Dry,Cold
A4_2020,2020,3,3,3,Dry,Cold
A7_2020,2020,3,2,2,Dry,Cold
A8_2020,2020,3,3,3,Dry,Cold
A10_2020,2020,3,3,3,Dry,Cold
A13_2020,2020,3,3,3,Dry,Cold
A27_2020,2020,2,0,0,Dry,Cold
A43_2020,2020,3,3,3,Dry,Cold
B2_2020,2020,NA,NA,0,Dry,Cold
B5_2020,2020,4,4,0,Dry,Cold
B8_2020,2020,3,3,3,Dry,Cold
B10_2020,2020,3,3,3,Dry,Cold
B21_2020,2020,3,0,0,Dry,Cold
BG5_2020,2020,4,4,3,Dry,Cold
